Time [ms], Thumb, Index, Middle, Ring, Little, force
161.612246, 1704, 1814, 2967, 2064, 2920, 0.341442, 
163.348816, 1704, 1814, 2967, 2064, 2920, 0.338863, 
165.176190, 1704, 1814, 2967, 2064, 2920, 0.340153, 
165.970446, 1704, 1814, 2967, 2064, 2920, 0.342732, 
166.985694, 1704, 1814, 2967, 2064, 2920, 0.340153, 
167.630435, 1704, 1814, 2967, 2064, 2920, 0.341442, 
168.381296, 1704, 1814, 2967, 2064, 2920, 0.338863, 
169.116111, 1704, 1814, 2967, 2064, 2920, 0.344021, 
169.777991, 1704, 1814, 2967, 2064, 2920, 0.338863, 
170.395746, 1704, 1814, 2967, 2064, 2920, 0.342732, 
171.060544, 1704, 1814, 2967, 2064, 2920, 0.341442, 
171.755610, 1704, 1814, 2967, 2064, 2920, 0.340153, 
172.673126, 1704, 1814, 2967, 2064, 2920, 0.344021, 
174.657308, 1704, 1814, 2967, 2064, 2920, 0.341442, 
175.343986, 1704, 1815, 2967, 2064, 2920, 0.342732, 
176.684158, 1704, 1815, 2967, 2064, 2920, 0.341442, 
177.847098, 1704, 1815, 2967, 2064, 2920, 0.337574, 
178.608899, 1704, 1815, 2967, 2064, 2920, 0.340153, 
179.307976, 1704, 1815, 2967, 2064, 2920, 0.340153, 
180.127030, 1704, 1815, 2967, 2064, 2920, 0.341442, 
181.095600, 1704, 1815, 2967, 2064, 2920, 0.336284, 
181.879281, 1704, 1815, 2967, 2064, 2920, 0.344021, 
182.609355, 1704, 1815, 2967, 2064, 2920, 0.337574, 
183.305515, 1704, 1815, 2967, 2064, 2920, 0.336284, 
183.952079, 1704, 1815, 2967, 2064, 2920, 0.338863, 
185.909276, 1704, 1815, 2967, 2064, 2920, 0.340153, 
186.781937, 1704, 1815, 2967, 2064, 2920, 0.333705, 
187.414279, 1704, 1815, 2967, 2064, 2920, 0.338863, 
188.130131, 1704, 1815, 2967, 2064, 2920, 0.333705, 
188.785448, 1704, 1815, 2967, 2064, 2920, 0.333705, 
189.452433, 1704, 1815, 2967, 2064, 2920, 0.332415, 
190.142758, 1704, 1815, 2967, 2064, 2920, 0.329836, 
190.803545, 1704, 1815, 2967, 2064, 2920, 0.328547, 
191.473448, 1704, 1815, 2967, 2064, 2920, 0.325967, 
192.155021, 1705, 1815, 2967, 2064, 2920, 0.325967, 
192.822007, 1705, 1815, 2967, 2064, 2920, 0.323388, 
194.808742, 1705, 1815, 2967, 2064, 2920, 0.320809, 
195.790076, 1705, 1815, 2967, 2064, 2920, 0.320809, 
196.715250, 1705, 1815, 2967, 2064, 2920, 0.322099, 
197.589005, 1705, 1815, 2967, 2064, 2920, 0.318230, 
198.198737, 1705, 1815, 2967, 2064, 2920, 0.318230, 
198.998464, 1705, 1815, 2967, 2064, 2920, 0.313072, 
199.770110, 1705, 1815, 2967, 2064, 2920, 0.314361, 
200.453507, 1705, 1815, 2967, 2064, 2920, 0.310493, 
201.092777, 1705, 1815, 2967, 2064, 2920, 0.310493, 
201.770703, 1705, 1815, 2967, 2064, 2920, 0.309203, 
202.453735, 1705, 1815, 2967, 2064, 2920, 0.304045, 
204.307365, 1705, 1815, 2967, 2064, 2920, 0.302755, 
205.018841, 1705, 1815, 2967, 2064, 2920, 0.302755, 
205.857587, 1705, 1815, 2967, 2064, 2920, 0.302755, 
206.558488, 1705, 1815, 2967, 2064, 2920, 0.302755, 
207.267411, 1705, 1815, 2967, 2064, 2920, 0.296307, 
208.056927, 1705, 1815, 2967, 2064, 2920, 0.300176, 
208.904426, 1705, 1815, 2967, 2064, 2920, 0.292439, 
209.630124, 1705, 1815, 2967, 2064, 2920, 0.297597, 
210.327013, 1705, 1815, 2967, 2064, 2920, 0.289860, 
211.248175, 1705, 1815, 2967, 2064, 2920, 0.293728, 
212.135423, 1705, 1815, 2967, 2064, 2920, 0.292439, 
213.113110, 1705, 1815, 2967, 2064, 2920, 0.287281, 
215.223834, 1705, 1815, 2967, 2064, 2920, 0.287281, 
216.069874, 1705, 1815, 2967, 2064, 2920, 0.287281, 
216.843709, 1705, 1815, 2967, 2064, 2920, 0.280833, 
217.500119, 1705, 1815, 2967, 2064, 2920, 0.283412, 
218.228006, 1705, 1815, 2967, 2064, 2920, 0.282122, 
218.940211, 1705, 1815, 2967, 2064, 2920, 0.276964, 
219.588234, 1705, 1815, 2967, 2064, 2920, 0.279543, 
220.258866, 1705, 1815, 2967, 2064, 2920, 0.273095, 
220.951379, 1705, 1815, 2967, 2064, 2920, 0.279543, 
221.615812, 1705, 1815, 2967, 2064, 2920, 0.269227, 
222.479357, 1705, 1815, 2967, 2064, 2920, 0.270516, 
223.326491, 1705, 1815, 2967, 2064, 2920, 0.269227, 
224.104337, 1705, 1815, 2967, 2064, 2920, 0.266648, 
225.903996, 1705, 1815, 2967, 2064, 2920, 0.266648, 
226.692053, 1705, 1815, 2967, 2064, 2920, 0.267937, 
227.893284, 1705, 1815, 2967, 2064, 2920, 0.266648, 
228.803141, 1705, 1815, 2967, 2064, 2920, 0.261489, 
229.708258, 1705, 1815, 2967, 2064, 2920, 0.264068, 
230.564509, 1705, 1815, 2967, 2064, 2920, 0.261489, 
231.285831, 1705, 1815, 2967, 2064, 2920, 0.261489, 
232.012624, 1705, 1815, 2967, 2064, 2920, 0.256331, 
232.715712, 1705, 1815, 2967, 2064, 2920, 0.262779, 
233.484077, 1705, 1815, 2967, 2064, 2920, 0.255041, 
234.192635, 1705, 1815, 2967, 2064, 2920, 0.258910, 
234.843211, 1705, 1815, 2967, 2064, 2920, 0.258910, 
236.608225, 1705, 1815, 2967, 2064, 2920, 0.256331, 
237.488545, 1705, 1815, 2967, 2064, 2920, 0.256331, 
238.099371, 1705, 1815, 2967, 2064, 2920, 0.256331, 
238.720773, 1705, 1815, 2967, 2064, 2920, 0.255041, 
239.319200, 1705, 1815, 2967, 2064, 2920, 0.258910, 
239.940602, 1705, 1815, 2968, 2063, 2920, 0.251173, 
240.602118, 1705, 1815, 2968, 2063, 2920, 0.253752, 
241.207839, 1705, 1815, 2968, 2063, 2920, 0.257621, 
241.980580, 1705, 1815, 2968, 2063, 2920, 0.252462, 
242.493309, 1705, 1815, 2968, 2063, 2920, 0.256331, 
243.126745, 1705, 1815, 2968, 2063, 2920, 0.257621, 
243.713138, 1705, 1815, 2968, 2063, 2920, 0.252462, 
244.720364, 1705, 1815, 2968, 2063, 2920, 0.251173, 
